path,classes,species
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits000.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits001.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits002.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits003.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits004.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits005.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits006.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits007.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits008.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits009.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits010.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits011.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits012.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits013.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits014.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits015.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits016.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits017.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits018.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits019.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits020.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits021.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits022.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits023.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits024.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits025.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits026.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits027.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits028.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits029.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits030.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits031.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits032.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits033.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits034.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits035.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits036.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits037.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits038.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits039.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits040.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits041.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits042.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits043.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits044.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits045.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits046.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits047.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits048.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits049.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits050.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits051.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits052.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits053.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits054.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits055.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits056.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits057.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits058.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits059.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits060.jpg,0,0
D:/cv_learn/projectI/Dataset/train/rabbits/rabbits061.jpg,0,0
